time,rec,gov,bok,cpi6,cpi5,cpi4,cpi3,cpi2,cpi1,cpi0,cpi01,realized_cpi,q_infl1,q_infl2
1999,0,1,1,,,,,,,1.2,,0.7,0.7090031,0.5930778
1999.5,0,1,1,,,,,3.5,1.3,1,,1,0.6513097,1.296202
2000,0,1,1,,,,,,,,,1.8,1.924515,1.587001
2000.5,1,1,1,,,,,,2.8,4,,2.8,2.981723,2.539965
2001,1,1,1,,,,,,,4.7,,4.4,3.693404,5.043368
2001.5,0,1,1,,,,,4.1,,3.7,,3.8,4.246153,3.29699
2002,0,1,1,,,,,2.7,,2.6,,2.6,2.524986,2.688524
2002.5,0,1,2,,,3.3,,3.6,4.4,2.9,,2.9,2.515384,3.317064
2003,1,2,2,,,,,3.5,,4,,3.7,4.074824,3.304753
2003.5,1,2,2,,,3.4,,3.8,3.2,3.2,,3.3,3.167003,3.521599
2004,1,2,2,,,,,2.8,,,,3.3,3.247758,3.410231
2004.5,1,2,2,,,3,,,3.9,3.9,,3.8,4.332101,3.371094
2005,0,2,2,,,,,3.2,,,,3.1,3.250791,2.978482
2005.5,0,2,2,,,2.8,,,2.8,2.4,,2.4,2.335768,2.461863
2006,0,2,2,,,,,2.6,,,,2.2,2.080478,2.238575
2006.5,0,2,3,,,3.4,,,2.8,2.4,,2.3,2.523911,2.124841
2007,0,2,3,,,,,2.6,,,,2.2,2.004072,2.448498
2007.5,0,2,3,,,2.6,,,2.6,2.8,,2.8,2.300707,3.379497
2008,1,3,3,,,,,3.5,,,,4.3,3.801677,4.845073
2008.5,1,3,3,,,3.1,,,5.2,5,,5,5.540922,4.495431
2009,0,3,3,,,,,3.5,,3.3,,3.3,3.911027,2.765758
2009.5,0,3,3,,,2.5,,2.2,2.5,2.2,,2.2,1.980098,2.406731
2010,0,3,3,,,,,2.7,,2.5,,2.8,2.984326,2.663094
2010.5,0,3,4,,,2.9,,2.7,3,3.2,,3.1,2.873929,3.234492
2011,0,3,4,,,,3.5,3.7,,4.3,,3.9,3.83833,3.98203
2011.5,1,3,4,,3.3,3.3,,3.6,3.8,4.1,,4.1,4.316329,3.964527
2012,1,3,4,,,,3.3,3.5,,3.1,,2.7,3.012559,2.42875
2012.5,1,3,4,,3.6,3.1,,3.2,2.6,1.9,,1.7,1.609998,1.715583
2013,0,4,4,,,,2.8,2.5,2.1,1.6,,1.4,1.55733,1.215579
2013.5,0,4,4,,3,2.9,2.9,2.8,2.1,1.2,,1.2,1.36585,1.068258
2014,0,4,4,,,,2.8,2,1.7,1.5,,1.4,1.128381,1.607653
2014.5,0,4,5,,2.9,2.9,2.8,2.7,2.3,1.4,,1.2,1.381069,0.9829003
2015,0,4,5,,,,2.8,2,1.2,0.5,0.5,0.6,0.6964377,0.5632339
2015.5,0,4,5,,2.6,2.7,2.5,1.3,1.2,0.9,,0.8,0.6463745,0.9198302
2016,0,4,5,,,,1.9,1.6,1.2,1,,0.8,0.8593293,0.8402948
2016.5,0,4,5,,1.8,1.8,1.5,1.4,1.3,1.1,,1.1,0.7347708,1.452135
2017,0,4,5,,,,2,1.9,1.8,2,,2.1,2.200059,1.921803
2017.5,1,5,5,,1.9,1.9,1.7,1.8,1.8,2,,1.8,2.218162,1.44104
2018,1,5,5,,,,1.8,1.7,1.5,1.4,,1.3,1.076349,1.492512
2018.5,1,5,6,,2,1.9,1.8,1.7,1.8,1.7,,1.7,1.547004,1.786628
2019,1,5,6,,,,2,1.7,1.2,0.7,,0.6,0.5424197,0.6521981
2019.5,1,5,6,,1.8,1.6,1.5,1.4,0.7,0.2,,0.2,0.04459,0.295617
2020,1,5,6,,,,1.4,1.1,1,0.5,,0.5,0.9666483,0.0087066
2020.5,0,5,6,,1.2,0.9,0.9,0,0.3,0.5,,0.6,0.7218354,0.454149
2021,0,5,6,,,0.8,0.7,0.7,1.2,1.7,,2,1.422432,2.487862
2021.5,0,5,6,1.5,1.3,1.2,1.4,2,2.4,2.8,,3,2.535268,3.546241
2022,0,5,6,,,1.3,1.7,2.3,3.5,4.4,,4.6,3.911844,5.377679
2022.5,0,6,7,1.4,1.3,1.8,2.7,4.6,5.9,5.6,,5.5,5.840743,5.21429
2023,0,6,7,,,3.3,4.6,4.2,4,4,,3.9,4.599045,3.261611
2023.5,0,6,7,2.5,2.9,3.1,3.1,2.9,3,3.3,,3.3,3.139371,3.416898
2024,0,6,7,,,2.5,2.5,3,2.9,2.9,,2.8,3.015835,2.669189
2024.5,0,6,7,2.4,2.3,2.3,2.3,2.4,2.2,1.8,,,,
2025,0,6,7,,,2.2,2.2,1.9,,,,,,
2025.5,0,6,7,2.1,2.1,2,,,,,,,,
